"m.z","int"
105,28
106,68
110,6
111,108
112,7
113,25
117,7
120,13
121,6
122,222
123,24
124,381
125,31
126,29
131,25
132,17
134,16
136,195
138,23
139,102
140,94
152,62
154,67
155,6
156,17
158,35
159,52
163,6
164,24
165,30
166,35
167,21
168,699
169,76
170,102
174,9
175,26
176,16
178,28
180,22
181,17
185,49
190,6
192,30
194,33
197,21
199,13
200,12
201,7
204,7
208,28
210,9
215,7
218,7
222,66
232,6
248,6
271,12
280,6
286,15
306,21
314,7
326,42
330,9
334,14
360,19
424,11
425,11
426,8
437,9
438,13
439,8
440,30
441,8
442,12
450,6
452,23
453,66
454,35
455,20
456,10
462,7
466,27
467,41
468,122
469,35
470,8
482,78
483,57
484,28
498,7
499,11
500,6
508,7
514,22
527,24
537,34
538,15
540,6
541,15
542,50
543,14
550,6
556,66
557,16
560,12
567,61
568,25
572,6
583,31
584,11
600,8
614,17
615,245
616,57
617,42
659,96
660,31
766,125
767,57
792,25
793,7
893,251
894,162
895,38
896,9
