"m.z","int"
101,64
103,19
104,12
105,639
106,30
108,19
110,228
111,19
112,24
113,1315
115,675
116,99
117,51
118,23
119,8
120,599
121,106
122,70
125,25
126,90
129,116
130,27
131,298
132,237
133,14
134,85
135,72
136,819
137,28
138,610
139,105
140,60
141,101
142,29
143,445
144,130
145,166
146,72
147,53
148,30
149,286
150,296
151,309
152,188
153,28
154,294
155,87
156,131
157,158
158,521
159,193
160,95
161,227
162,68
163,36
164,76
165,1806
166,141
167,346
168,111
169,92
170,100
171,9
172,576
173,241
174,160
175,586
176,56
177,214
178,281
179,71
180,195
181,1913
183,148
184,39
185,294
186,614
187,120
188,229
189,50
190,298
191,109
192,350
193,50
194,219
195,41
196,202
197,1740
198,91
199,377
200,99
201,428
202,506
203,123
204,105
205,180
206,384
207,58
208,349
209,51
210,131
211,19
212,243
213,1096
214,464
215,371
216,143
217,660
218,112
219,203
220,67
221,239
222,353
223,203
224,191
225,53
226,56
227,22
228,90
229,187
230,510
231,131
232,230
233,585
234,109
235,223
236,104
237,185
238,92
239,226
240,428
241,130
242,22
243,81
244,63
245,190
246,206
247,71
248,53
249,10
250,81
251,59
252,128
253,73
254,40
255,152
256,391
257,60
258,63
259,80
260,91
261,47
262,195
263,98
264,35
265,8
266,27
267,54
268,67
269,14
270,29
271,156
272,37
273,47
274,41
275,75
276,78
277,61
278,42
279,90
280,26
281,42
282,9
283,41
284,19
286,199
287,126
288,10
289,18
291,68
292,34
293,52
294,35
295,53
296,15
297,36
298,13
299,43
300,6
302,14
303,69
304,7
305,13
306,219
307,46
308,16
309,7
310,66
311,18
312,126
313,24
314,108
315,32
318,144
319,10
320,6
321,19
322,9
323,10
324,26
326,282
327,40
328,16
329,14
330,78
331,8
332,23
334,46
336,9
337,11
338,15
342,40
345,7
346,149
347,7
348,78
350,8
352,8
360,104
361,98
362,9
363,14
364,95
366,30
369,6
377,19
378,9
380,32
382,62
395,14
404,7
410,7
411,7
412,14
413,6
419,6
423,22
424,53
425,30
426,42
427,27
428,14
430,23
431,26
433,6
436,25
437,25
438,57
439,50
440,98
441,19
442,21
443,15
450,11
451,26
452,104
453,162
454,153
455,46
456,48
458,9
461,9
462,55
463,28
464,7
465,18
466,96
467,124
468,376
469,140
470,54
471,6
477,7
478,13
479,8
480,36
481,20
482,288
483,161
484,111
490,7
491,33
495,27
496,16
497,6
498,26
499,24
500,12
506,8
508,334
509,67
510,64
512,36
513,6
514,58
515,19
517,27
520,6
521,6
522,107
523,21
524,95
525,28
526,61
527,63
528,43
530,15
536,13
537,286
538,98
540,24
541,63
542,132
543,88
544,56
546,6
548,19
550,48
552,6
554,10
556,124
557,29
558,9
560,33
561,6
562,22
565,80
566,15
567,167
568,47
570,39
572,9
574,17
581,25
582,11
583,112
584,33
590,29
594,10
596,42
597,6
598,10
599,11
600,24
602,22
608,6
614,36
615,511
616,172
617,44
618,21
642,7
658,36
659,376
660,118
661,6
670,8
674,26
682,12
688,16
690,9
698,16
699,6
705,12
706,19
727,7
744,6
758,8
760,6
772,297
778,8
779,10
787,6
791,7
792,250
793,84
794,18
800,10
808,164
809,57
810,27
816,10
819,9
826,15
827,27
828,10
838,6
842,12
849,13
850,10
852,7
854,30
865,19
866,9
870,12
892,11
893,585
894,375
895,102
896,14
908,6
918,6
932,8
940,6
958,22
959,6
974,22
975,6
