"m.z","int"
102,11
103,182
104,54
105,922
106,227
108,160
109,31
110,207
111,30
112,918
113,617
114,11
115,284
116,449
117,84
118,268
119,111
120,1363
121,346
122,366
123,75
124,98
125,15
126,228
128,114
129,457
130,370
131,839
132,1463
133,255
134,582
135,378
136,4662
137,543
138,1474
139,170
140,287
142,325
143,296
144,162
145,125
146,465
147,34
148,749
149,63
150,2733
151,1200
152,853
153,346
154,1241
155,341
156,1560
157,453
158,2685
159,330
160,513
161,110
162,383
163,96
164,523
165,706
166,2710
167,386
168,1159
169,189
170,1261
171,200
172,2279
173,215
174,639
175,645
176,888
177,174
178,1820
179,929
180,1238
181,901
182,515
183,109
184,452
185,1188
186,3086
187,192
188,542
189,57
190,538
191,181
192,2965
193,764
194,1736
195,226
196,577
197,739
198,544
199,430
200,2819
201,647
202,831
203,102
204,571
205,176
206,911
207,617
208,1942
209,195
210,673
211,44
212,697
213,551
214,5976
215,971
216,799
217,390
218,1230
219,338
220,1320
221,254
222,1559
223,285
224,680
225,188
226,706
227,79
228,431
229,284
230,1835
231,402
232,1390
233,258
234,1151
235,160
236,1377
237,191
238,3567
239,390
240,99217
241,12401
242,2479
243,347
244,288
245,88
246,3492
247,531
248,683
249,85
250,1446
251,119
252,1492
253,173
254,11167
255,1198
256,114618
257,15087
258,14779
259,2040
260,807
261,53
262,8169
263,1107
264,2082
265,191
266,3408
267,357
268,2516
269,235
270,28213
271,3782
272,3590
273,474
274,2314
275,254
276,7428
277,1717
278,4330
279,527
280,4777
281,804
282,2145
283,205
284,3338
285,518
286,1974
287,244
288,822
289,272
290,12028
291,5911
292,4448
293,1146
294,4045
295,535
296,3574
297,654
298,2911
299,545
300,3561
301,389
302,741
303,3054
304,1788
305,556
306,6069
307,1233
308,3150
309,469
310,18141
311,2771
312,1869
313,491
314,1476
315,193
316,1239
317,315
318,103151
319,17747
320,9737
321,1498
322,2646
323,437
324,1707
325,246
326,56749
327,9783
328,5493
329,828
330,671
331,141
332,524
333,162
334,744
335,97
336,1176
337,192
338,2928
339,395
340,323
341,50
342,300
343,40
344,300
345,81
346,668
347,80
348,1830
349,540
350,458
351,119
352,575
353,302
354,284
355,63
356,173
357,83
358,149
359,43
360,707
361,307
362,3104
363,382
364,358
365,228
366,291
367,218
368,121
369,73
370,102
371,23
372,443
373,57
374,209
375,21
376,19
377,20
378,21880
379,4733
380,1488
381,97
382,408
383,51
384,138
386,103
387,62
388,221
389,39
390,126
391,75
392,44
393,22
394,211
395,111
396,104
397,77
398,75
400,43
401,15
402,350
403,66
404,48
405,87
406,76
407,21
408,149
409,73
410,757
411,218
412,344
413,167
414,249
415,57
416,132
417,22
418,52
420,28
422,111
423,148
424,426
425,295
426,390
427,177
428,226
429,60
430,1033
431,276
432,96
434,68
435,25
436,207
437,179
438,496
439,380
440,568
441,292
442,407
443,92
444,52
445,36
446,24
447,35
448,47
449,25
450,191
451,221
452,764
453,910
454,996
455,422
456,10346
457,1897
458,731
459,190
460,61
461,124
462,570
463,294
464,144
465,155
466,500
467,652
468,2057
469,763
470,719
471,199
472,344
473,99
474,41
476,97
477,31
478,85
479,52
480,182
481,228
482,1404
483,946
484,974
485,421
486,340
487,75
488,64
489,482
490,288
491,122
492,79
494,66
495,78
496,115
497,62
498,183
499,179
500,165
501,30
502,41
503,183
504,27
505,95
506,90
507,72
508,1207
509,220
510,625
511,116
512,209
