"m.z","int"
108,10
113,23
115,9
122,177
123,6
124,25
125,44
126,67
131,6
132,18
134,19
137,21
138,87
139,22
140,307
146,8
150,133
151,7
152,142
153,6
154,172
155,6
156,27
157,132
163,16
165,7
166,38
168,12
169,46
170,142
171,8
172,7
174,8
175,86
176,11
178,29
179,23
180,31
182,18
185,28
189,12
190,7
192,36
194,102
196,26
199,26
200,17
204,19
206,7
208,33
210,7
216,6
217,69
218,20
220,6
221,6
222,9
224,18
228,8
230,9
231,11
233,11
234,23
235,38
236,9
248,10
250,14
257,32
259,9
263,10
275,12
277,100
280,33
282,6
289,9
291,10
299,21
305,11
308,20
314,9
319,14
326,31
337,44
349,8
377,7
415,31
437,6
438,6
452,23
453,30
454,10
457,6
466,10
467,19
468,75
469,10
470,6
482,53
483,24
493,6
514,7
515,7
527,13
537,6
541,7
542,19
553,8
556,33
557,10
567,13
568,6
583,7
615,127
616,47
617,8
659,44
660,18
742,25
767,203
768,27
893,119
894,48
895,12
